"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO","DATA_NASCITA","LUOGO_NASCITA"
"VENETO 2","VENETO 2 - U02 (SELVAZZANO DENTRO)","ITALIA SOVRANA E POPOLARE","NICOLA DEGANI","07/10/1967","LEGNAGO (VR)"
"VENETO 2","VENETO 2 - U02 (SELVAZZANO DENTRO)","ITALEXIT PER L'ITALIA","LINA MANUALI","24/03/1969","SAN SEVERO (FG)"
"VENETO 2","VENETO 2 - U02 (SELVAZZANO DENTRO)","VITA","MICHELA CATTOZZO","19/04/1967","PADOVA "
"VENETO 2","VENETO 2 - U02 (SELVAZZANO DENTRO)","LEGA PER SALVINI PREMIER","MASSIMO BITONCI","24/06/1965","PADOVA"
"VENETO 2","VENETO 2 - U02 (SELVAZZANO DENTRO)","FORZA ITALIA","MASSIMO BITONCI","24/06/1965","PADOVA"
"VENETO 2","VENETO 2 - U02 (SELVAZZANO DENTRO)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MASSIMO BITONCI","24/06/1965","PADOVA"
"VENETO 2","VENETO 2 - U02 (SELVAZZANO DENTRO)","FRATELLI D'ITALIA CON GIORGIA MELONI","MASSIMO BITONCI","24/06/1965","PADOVA"
"VENETO 2","VENETO 2 - U03 (PADOVA)","MOVIMENTO 5 STELLE","GIACOMO CUSUMANO","05/11/1986","ABANO TERME (PD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)"," +EUROPA","GIANPIERO DALLA ZUANNA","23/09/1960","CAMPOSAMPIERO (PD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","GIANPIERO DALLA ZUANNA","23/09/1960","CAMPOSAMPIERO (PD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","GIANPIERO DALLA ZUANNA","23/09/1960","CAMPOSAMPIERO (PD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)","ALLEANZA VERDI E SINISTRA","GIANPIERO DALLA ZUANNA","23/09/1960","CAMPOSAMPIERO (PD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)","AZIONE - ITALIA VIVA - CALENDA","CARLO PASQUALETTO","01/06/1988","CAMPOSAMPIERO (PD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)","UNIONE POPOLARE CON DE MAGISTRIS","LUCA LENDARO","11/02/1990","GEMONA DEL FRIULI (UD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)","ITALIA SOVRANA E POPOLARE","LORENZO SIVIERI","07/09/1978","ABANO TERME (PD)"
"VENETO 2","VENETO 2 - U03 (PADOVA)","ITALEXIT PER L'ITALIA","SIMONE COLUCCI","10/05/1965","PADOVA"
"VENETO 2","VENETO 2 - U03 (PADOVA)","VITA","PAOLO GIROTTO","18/07/1961","PADOVA"
"VENETO 2","VENETO 2 - U03 (PADOVA)","LEGA PER SALVINI PREMIER","ELISABETTA GARDINI","03/06/1956","PADOVA"
"VENETO 2","VENETO 2 - U03 (PADOVA)","FORZA ITALIA","ELISABETTA GARDINI","03/06/1956","PADOVA"
"VENETO 2","VENETO 2 - U03 (PADOVA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ELISABETTA GARDINI","03/06/1956","PADOVA"
"VENETO 2","VENETO 2 - U03 (PADOVA)","FRATELLI D'ITALIA CON GIORGIA MELONI","ELISABETTA GARDINI","03/06/1956","PADOVA"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","MOVIMENTO 5 STELLE","GEDOREM ANDREATTA","25/07/1979","MAROSTICA (VI)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)"," +EUROPA","GIULIA ANDRIAN","20/12/1971","ESTE (PD)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","GIULIA ANDRIAN","20/12/1971","ESTE (PD)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","GIULIA ANDRIAN","20/12/1971","ESTE (PD)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","ALLEANZA VERDI E SINISTRA","GIULIA ANDRIAN","20/12/1971","ESTE (PD)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","AZIONE - ITALIA VIVA - CALENDA","MARICA DALLA VALLE","10/03/1963","MAROSTICA (VI)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","UNIONE POPOLARE CON DE MAGISTRIS","ALBERTO CARRARO","25/01/1996","BASSANO DEL GRAPPA (VI)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","ITALIA SOVRANA E POPOLARE","SILVIA GIARETTA","05/12/1980","CITTADELLA (PD)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","ITALEXIT PER L'ITALIA","ILARIA BRUNELLI","24/11/1978","BASSANO DEL GRAPPA (VI)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","VITA","BORIS VENTURA","29/10/1972","BASSANO DEL GRAPPA (VI)"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","LEGA PER SALVINI PREMIER","SILVIO GIOVINE","20/12/1983","VICENZA"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","FORZA ITALIA","SILVIO GIOVINE","20/12/1983","VICENZA"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","SILVIO GIOVINE","20/12/1983","VICENZA"
"VENETO 2","VENETO 2 - U04 (BASSANO DEL GRAPPA)","FRATELLI D'ITALIA CON GIORGIA MELONI","SILVIO GIOVINE","20/12/1983","VICENZA"
"VENETO 2","VENETO 2 - U05 (VICENZA)","MOVIMENTO 5 STELLE","SONIA PERENZONI","12/12/1975","TRENTO"
"VENETO 2","VENETO 2 - U05 (VICENZA)"," +EUROPA","DIEGO ZAFFARI","04/11/1964","ARZIGNANO (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","DIEGO ZAFFARI","04/11/1964","ARZIGNANO (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","DIEGO ZAFFARI","04/11/1964","ARZIGNANO (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","ALLEANZA VERDI E SINISTRA","DIEGO ZAFFARI","04/11/1964","ARZIGNANO (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","AZIONE - ITALIA VIVA - CALENDA","STEFANO ZAUSA","06/05/1977","VICENZA"
"VENETO 2","VENETO 2 - U05 (VICENZA)","UNIONE POPOLARE CON DE MAGISTRIS","ANNARITA SIMONE","27/03/1977","BARI"
"VENETO 2","VENETO 2 - U05 (VICENZA)","ITALIA SOVRANA E POPOLARE","GIOVANNI NOVELLO","04/07/1969","VICENZA"
"VENETO 2","VENETO 2 - U05 (VICENZA)","ITALEXIT PER L'ITALIA","BORIS NEGRELLO","25/02/1974","BASSANO DEL GRAPPA (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","VITA","GIULIO QUADRI","06/02/1967","VICENZA"
"VENETO 2","VENETO 2 - U05 (VICENZA)","LEGA PER SALVINI PREMIER","MARIA CRISTINA CARETTA","11/01/1964","THIENE (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","FORZA ITALIA","MARIA CRISTINA CARETTA","11/01/1964","THIENE (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MARIA CRISTINA CARETTA","11/01/1964","THIENE (VI)"
"VENETO 2","VENETO 2 - U05 (VICENZA)","FRATELLI D'ITALIA CON GIORGIA MELONI","MARIA CRISTINA CARETTA","11/01/1964","THIENE (VI)"
"VENETO 2","VENETO 2 - U06 (VERONA)","MOVIMENTO 5 STELLE","FRANCESCO VACCARO","11/03/1981","FORMIA (LT)"
"VENETO 2","VENETO 2 - U06 (VERONA)"," +EUROPA","ANNA-LISA NALIN","03/09/1965","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ANNA-LISA NALIN","03/09/1965","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ANNA-LISA NALIN","03/09/1965","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","ALLEANZA VERDI E SINISTRA","ANNA-LISA NALIN","03/09/1965","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","AZIONE - ITALIA VIVA - CALENDA","MARIAFRANCESCA SALZANI","28/06/1971","NEGRAR (VR)"
"VENETO 2","VENETO 2 - U06 (VERONA)","UNIONE POPOLARE CON DE MAGISTRIS","MARIA ROSARIA PERRELLI DETTA IAIA","30/01/1962","NAPOLI"
"VENETO 2","VENETO 2 - U06 (VERONA)","ITALIA SOVRANA E POPOLARE","MARIANNA BECCE","09/08/1976","ROMA"
"VENETO 2","VENETO 2 - U06 (VERONA)","ITALEXIT PER L'ITALIA","MARISTELLA PADOVANI","14/09/1959","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","VITA","ANNA SAUTTO","16/09/1972","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","LEGA PER SALVINI PREMIER","LORENZO FONTANA","10/04/1980","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","FORZA ITALIA","LORENZO FONTANA","10/04/1980","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","LORENZO FONTANA","10/04/1980","VERONA"
"VENETO 2","VENETO 2 - U06 (VERONA)","FRATELLI D'ITALIA CON GIORGIA MELONI","LORENZO FONTANA","10/04/1980","VERONA"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","MOVIMENTO 5 STELLE","ANTONIETTA BENEDETTI","12/03/1965","BUSSOLENGO (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)"," +EUROPA","FEDERICA FOGLIA","21/08/1979","VILLAFRANCA DI VERONA (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","FEDERICA FOGLIA","21/08/1979","VILLAFRANCA DI VERONA (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","FEDERICA FOGLIA","21/08/1979","VILLAFRANCA DI VERONA (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","ALLEANZA VERDI E SINISTRA","FEDERICA FOGLIA","21/08/1979","VILLAFRANCA DI VERONA (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","AZIONE - ITALIA VIVA - CALENDA","DAVIDE BENDINELLI","19/10/1974","CAPRINO VERONESE (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","UNIONE POPOLARE CON DE MAGISTRIS","GIUSEPPE QUAINI DETTO TIZIANO","16/02/1954","SOMMACAMPAGNA (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","ITALIA SOVRANA E POPOLARE","LUIGI D'AGOSTO","01/02/1975","PADOVA"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","ITALEXIT PER L'ITALIA","SIMONE BRIZZI","04/01/1990","BUSSOLENGO (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","VITA","ANNALISA BEGALI","09/05/1958","VERONA"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","LEGA PER SALVINI PREMIER","CIRO MASCHIO","23/07/1971","NEGRAR (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","FORZA ITALIA","CIRO MASCHIO","23/07/1971","NEGRAR (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","CIRO MASCHIO","23/07/1971","NEGRAR (VR)"
"VENETO 2","VENETO 2 - U07 (VILLAFRANCA DI VERONA)","FRATELLI D'ITALIA CON GIORGIA MELONI","CIRO MASCHIO","23/07/1971","NEGRAR (VR)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","AZIONE - ITALIA VIVA - CALENDA","TERESA TASSAN VIOL","25/11/1954","AVIANO "
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","ITALEXIT PER L'ITALIA","ESTER DILDA","31/05/1959","PORDENONE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","MOVIMENTO 5 STELLE","LUCA SUT","15/04/1982","PORDENONE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","MASTELLA NOI DI CENTRO EUROPEISTI","CINZIA BRAULINESE","05/08/1976","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","FORZA ITALIA","VANNIA GAVA","30/06/1974","SACILE (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","VANNIA GAVA","30/06/1974","SACILE (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","FRATELLI D'ITALIA CON GIORGIA MELONI","VANNIA GAVA","30/06/1974","SACILE (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","LEGA PER SALVINI PREMIER","VANNIA GAVA","30/06/1974","SACILE (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","VLADIMIRO CAMPELLO","03/02/1966","DOLO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","VITA","AMBRA FEDRIGO","14/07/1977","CIVIDALE DEL FRIULI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","ITALIA SOVRANA E POPOLARE","GIUSEPPE GUERRA","06/11/1987","BARLETTA"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","UNIONE POPOLARE CON DE MAGISTRIS","GIAN LUIGI BETTOLI","17/05/1956","PORDENONE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","GLORIA FAVRET","27/04/1985","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","GLORIA FAVRET","27/04/1985","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)","ALLEANZA VERDI E SINISTRA","GLORIA FAVRET","27/04/1985","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U01 (PORDENONE)"," +EUROPA","GLORIA FAVRET","27/04/1985","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","AZIONE - ITALIA VIVA - CALENDA","MARIA SANDRA TELESCA","22/04/1957","NAPOLI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","ITALEXIT PER L'ITALIA","KETTY RODELA","25/11/1974","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","MOVIMENTO 5 STELLE","CESIDIO ANTIDORMI","06/01/1964","BASSANO DEL GRAPPA (VI)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","MASTELLA NOI DI CENTRO EUROPEISTI","ELISABETTA ROMEO","22/01/1975","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","FORZA ITALIA","WALTER RIZZETTO","27/06/1975","SAN VITO AL TAGLIAMENTO (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","WALTER RIZZETTO","27/06/1975","SAN VITO AL TAGLIAMENTO (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","FRATELLI D'ITALIA CON GIORGIA MELONI","WALTER RIZZETTO","27/06/1975","SAN VITO AL TAGLIAMENTO (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","LEGA PER SALVINI PREMIER","WALTER RIZZETTO","27/06/1975","SAN VITO AL TAGLIAMENTO (PN)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","ANDREA SPONZA","22/03/1997","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","VITA","UGO ROSSI","26/01/1991","PALMANOVA"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","ITALIA SOVRANA E POPOLARE","LUCIA GIORDANI","22/01/1963","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","UNIONE POPOLARE CON DE MAGISTRIS","IVAN VOLPI","03/03/1970","GORIZIA"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MANUELA CELOTTI","10/04/1981","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MANUELA CELOTTI","10/04/1981","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)","ALLEANZA VERDI E SINISTRA","MANUELA CELOTTI","10/04/1981","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U02 (UDINE)"," +EUROPA","MANUELA CELOTTI","10/04/1981","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","AZIONE - ITALIA VIVA - CALENDA","DANIELA ROSSETTI","20/12/1971","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","ITALEXIT PER L'ITALIA","FRANCO ZONTA","02/06/1954","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","MOVIMENTO 5 STELLE","ADRIANA PANZERA","29/09/1966","UDINE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","MASTELLA NOI DI CENTRO EUROPEISTI","PAOLO CORRADO","28/07/1977","LATISANA (UD)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","FORZA ITALIA","MASSIMILIANO PANIZZUT","10/12/1968","MILANO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","MASSIMILIANO PANIZZUT","10/12/1968","MILANO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","FRATELLI D'ITALIA CON GIORGIA MELONI","MASSIMILIANO PANIZZUT","10/12/1968","MILANO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","LEGA PER SALVINI PREMIER","MASSIMILIANO PANIZZUT","10/12/1968","MILANO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","ALTERNATIVA PER L'ITALIA - NO GREEN PASS","MARIA AMBROSI","19/01/1951","MONFALCONE (GO)"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","VITA","MARCELLO DI FINIZIO","16/09/1965","NAPOLI"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","ITALIA SOVRANA E POPOLARE","EMMA MARIA LETIZIA AGRICOLA","27/10/1964","SAN SEVERO"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","UNIONE POPOLARE CON DE MAGISTRIS","SILVIA DI FONZO","25/10/1963","PESCARA"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CATERINA CONTI","30/09/1986","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CATERINA CONTI","30/09/1986","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)","ALLEANZA VERDI E SINISTRA","CATERINA CONTI","30/09/1986","TRIESTE"
"FRIULI-VENEZIA GIULIA","FRIULI-VENEZIA GIULIA - U03 (TRIESTE)"," +EUROPA","CATERINA CONTI","30/09/1986","TRIESTE"
"ITALIA","VALLE D'AOSTA - U01 (AOSTA)","ITALIA SOVRANA E POPOLARE","LOREDANA AUGUSTA RONC","21/08/1964","AOSTA"
"ITALIA","VALLE D'AOSTA - U01 (AOSTA)","VALLE D'AOSTA APERTA","ERIKA GUICHARDAZ","25/11/1976","AOSTA"
"ITALIA","VALLE D'AOSTA - U01 (AOSTA)","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA","EMILY MARINELLA RINI","15/08/1982","AOSTA"
"ITALIA","VALLE D'AOSTA - U01 (AOSTA)","LA RENAISSANCE VALD?TAINE","GIOVANNI GIRARDINI","03/07/1965","AOSTA"
"ITALIA","VALLE D'AOSTA - U01 (AOSTA)","PARTITO COMUNISTA ITALIANO","DAVIDE IANNI","13/12/1991","IVREA (TO)"
"ITALIA","VALLE D'AOSTA - U01 (AOSTA)","UNIONE POPOLARE CON DE MAGISTRIS","LOREDANA DE ROSA","01/11/1961","ROMA"
"ITALIA","VALLE D'AOSTA - U01 (AOSTA)","VALL?E D?AOSTE ? AUTONOMIE PROGR?S F?D?RALISME","FRANCO MANES","21/06/1963","AOSTA"
"LIGURIA","LIGURIA - U01 (SAVONA)","UNIONE POPOLARE CON DE MAGISTRIS","ALBERTO GABRIELLI","06/07/1950","PIEVE DI TECO (IM)"
"LIGURIA","LIGURIA - U01 (SAVONA)","ITALEXIT PER L'ITALIA","SILVIA ARCARI","08/08/1973","GENOVA"
"LIGURIA","LIGURIA - U01 (SAVONA)"," +EUROPA","MARINA LOMBARDI","04/06/1964","VARESE"
"LIGURIA","LIGURIA - U01 (SAVONA)","ALLEANZA VERDI E SINISTRA","MARINA LOMBARDI","04/06/1964","VARESE"
"LIGURIA","LIGURIA - U01 (SAVONA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MARINA LOMBARDI","04/06/1964","VARESE"
"LIGURIA","LIGURIA - U01 (SAVONA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MARINA LOMBARDI","04/06/1964","VARESE"
"LIGURIA","LIGURIA - U01 (SAVONA)","ITALIA SOVRANA E POPOLARE","FRANCESCO NAPPI","09/01/1975","BOLOGNA"
"LIGURIA","LIGURIA - U01 (SAVONA)","MOVIMENTO 5 STELLE","GIOVANNI SPALLA","06/04/1934","IMPERIA"
"LIGURIA","LIGURIA - U01 (SAVONA)","VITA","LUCIA CANEPA","09/05/1966","GENOVA"
"LIGURIA","LIGURIA - U01 (SAVONA)","AZIONE - ITALIA VIVA - CALENDA","DESIREE NEGRI","20/06/1967","SANREMO (IM)"
"LIGURIA","LIGURIA - U01 (SAVONA)","LEGA PER SALVINI PREMIER","EDOARDO RIXI","08/06/1974","GENOVA"
"LIGURIA","LIGURIA - U01 (SAVONA)","FRATELLI D'ITALIA CON GIORGIA MELONI","EDOARDO RIXI","08/06/1974","GENOVA"
"LIGURIA","LIGURIA - U01 (SAVONA)","FORZA ITALIA","EDOARDO RIXI","08/06/1974","GENOVA"
"LIGURIA","LIGURIA - U01 (SAVONA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","EDOARDO RIXI","08/06/1974","GENOVA"
"LIGURIA","LIGURIA - U01 (SAVONA)","MASTELLA NOI DI CENTRO EUROPEISTI","MARCO PADOVANI","15/12/1963","SAVONA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","UNIONE POPOLARE CON DE MAGISTRIS","GIANLUCA TRAVERSO","07/06/1989","ALBENGA (SV)"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","ITALEXIT PER L'ITALIA","FABIO MONTORRO","24/02/1985","ACQUI TERME (AL)"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)"," +EUROPA","KATIA PICCARDO","13/03/1984","GENOVA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","ALLEANZA VERDI E SINISTRA","KATIA PICCARDO","13/03/1984","GENOVA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","KATIA PICCARDO","13/03/1984","GENOVA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","KATIA PICCARDO","13/03/1984","GENOVA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","ITALIA SOVRANA E POPOLARE","GIORDANO MANGIONE","02/09/1987","FOGGIA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","MOVIMENTO 5 STELLE","ROBERTO TRAVERSI","01/12/1969","MILANO"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","VITA","LUANA CIAMBELLINI","04/05/1981","GENOVA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","AZIONE - ITALIA VIVA - CALENDA","MAURO AVVENENTE","30/06/1956","GENOVA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","LEGA PER SALVINI PREMIER","ILARIA CAVO","11/10/1973","GENOVA"
"LIGURIA","LIGURIA - U02 (GENOVA: MUNICIPIO VII - PONENTE)","FRATELLI D'ITALIA CON GIORGIA MELONI","ILARIA CAVO","11/10/1973","GENOVA"
